Ticker,YEAR,Environmental ,Social,Governance,ESG_score,GVKEY,Address Line 1,Postal Code,City,Mining,Construction,Manufactuing,Transportation Public Utilities,Wholesale Trade,Retail Trade,Services,SIC code,Company Name,CIK Number,Country Code,Current Assets,Assets,Cash,Inventory,Current Marketable Securities,Current Liabilities,Liabilities,"Property, Plant and Equipment",Preferred/Preference Stock,Allowance for Doubtful Receivables ,Total Receivables ,Stockholders Equity,Cost of Goods Sold,Dividends - Preferred/Preference,Dividends ,Earnings Before Interest and Taxes,Earnings Per Share (Basic),Net Income (Loss),Net Income Adjusted for common stocks,Sales/Turnover (Net),Interest and Related Expense,Common Shares Outstanding,Total Debt Including Current,Price Close - Annual -,Net receivables,Total assets last year ,Net receivables last year,Inventory last year,Stockholder equity last year,Cost of Goods Sold last year,Common shares outstanding last year
NTRA,2020,14.376,12.9081,83.594,37.0184,24176,"13011 McCallen Pass Building A, Suite 100",78753,San Carlos,0,0,0,0,0,0,1,8071,NATERA INC,1604821,USA,862.663,932.153,48.668,20.031,688.793,199.053,445.917,54.747,0.0,4.22,78.565,486.236,194.007,0.0,0.0,-215.277,-2.84,-229.743,-229.743,391.005,15.082,86.223,231.039,99.52,74.35,582.66,50.43,12.39,278.71,167.74,78.01
SYNA,2020,16.793,15.4172,84.979,39.1208,142814,1109 McKay Drive,95131,San Jose,0,0,1,0,0,0,0,3674,SYNAPTICS INC,817720,USA,1077.6,1693.8,763.4,102,0.0,244.1,874.7,105.3,0.0,0.0,195.7,819.1,724.4,0.0,0.0,104.3,3.54,118.8,118.8,1333.9,22.5,34.122,607.7,60.12,195.7,1409.8,230,158.7,657.3,876.8,33.35
KMT,2019,22.622,25.786,87.477,45.3476,6386,"525 William Penn Place, Suite 3300",15219,Pittsburgh,0,0,1,0,0,0,0,3540,KENNAMETAL INC,55242,USA,1190.827,2656.269,182.015,571.576,0.0,461.726,1281.565,934.895,0.0,10.083,379.855,1335.172,1443.631,0.0,65.746,345.7,2.94,241.925,241.925,2375.234,32.994,82.421,592.474,36.99,369.77,2925.74,389.48,525.47,1194.33,1438.08,81.65
HRI,2019,0.0,12.5756,87.477,33.4172,26749,27500 Riverview Center Boulevard,34134,Bonita Springs,0,0,0,0,0,0,1,7350,HERC HOLDINGS INC,1364479,USA,399.7,3817.0,33.0,0,0.0,323.1,3172.7,3009.1,0.0,0.0,306.7,644.3,986.6,0.0,0.0,248.2,1.66,47.5,47.5,1999.0,119.9,28.8,2412.2,48.94,306.7,3610.2,332.4,17.9,572.7,1008.3,28.5
HEI,2020,0.0,12.5756,83.594,32.1195,5567,3000 Taft Street,33021,Hollywood,0,0,1,0,0,0,0,3724,HEICO CORP,46619,USA,1165.625,3547.711,406.852,463.205,0.0,241.161,1315.896,225.951,0.0,12.738,270.862,1980.177,1017.215,0.0,21.552,377.163,2.33,313.984,313.984,1787.009,13.159,135.118,798.125,105.05,258.12,2969.21,313.79,420.32,1666.54,1159.25,134.5
BAX,2020,62.519,48.821,93.739,68.3935,2086,One Baxter Parkway,60015,Deerfield,0,0,1,0,0,0,0,2834,BAXTER INTERNATIONAL INC,10456,USA,8411.0,20019.0,3730.0,1916,6.0,3333.0,11293.0,5325.0,0.0,125.0,2077.0,8689.0,6120.0,0.0,488.0,1856.0,2.17,1102.0,1102.0,11673.0,162.0,504.915,6804,80.24,1952.0,18193,1784,1653,7882,5657,506.16
IBP,2019,1.571,15.266,82.601,33.2059,19516,"495 South High Street, Suite 50",43215,Columbus,0,1,0,0,0,0,0,1700,INSTALLED BLDG PRODUCTS INC,1580905,USA,581.949,1099.479,177.889,74.606,37.961,214.149,849.448,152.101,0.0,6.878,266.657,250.031,1039.141,0.0,0.0,124.796,2.29,68.159,68.159,1511.629,24.379,30.016,620.783,68.87,259.78,834.66,224.13,61.16,182.5,932.47,29.92
BSX,2019,52.945,37.1524,91.24,60.4869,25279,300 Boston Scientific Way,01752-1234,Marlborough,0,0,1,0,0,0,0,3845,BOSTON SCIENTIFIC CORP,885725,USA,4699.0,30565.0,217.0,1579,346.0,4866.0,16688.0,2415.0,0.0,74.0,1933.0,13877.0,2719.0,0.0,0.0,2070.0,3.38,4700.0,4700.0,10735.0,473.0,1394.923,9640,45.22,1859.0,20999,1578,1166,8726,2498,1384.58
BIO,2019,16.46,13.8755,73.63,34.7048,2220,1000 Alfred Nobel Drive,94547,Hercules,0,0,1,0,0,0,0,3826,BIO-RAD LABORATORIES INC,12208,USA,2180.155,8008.859,660.672,554.007,459.626,905.495,2253.802,701.207,0.0,20.205,394.672,5755.057,929.143,0.0,0.0,255.36,58.93,1758.675,1758.675,2311.659,23.416,29.926,651.134,370.03,374.47,5611.07,365.73,583.82,4020.33,928.85,29.8
MAS,2019,10.208,27.9927,87.477,41.9475,7085,17450 College Parkway,48152,Livonia,0,0,1,0,0,0,0,3430,MASCO CORP,62996,USA,2711.0,5027.0,697.0,754,0.0,1548.0,5083.0,1054.0,0.0,4.0,999.0,-235.0,4197.0,0.0,146.0,1110.0,3.24,933.0,929.0,6707.0,157.0,275.6,2973,47.99,995.0,5393,1153,946,-111,5466,293.9
WM,2020,56.871,41.5357,100.0,66.1805,14477,"800 Capitol Street, Suite 3000",77002,Houston,0,0,0,1,0,0,0,4953,WASTE MANAGEMENT INC,823768,USA,3540.0,29345.0,553.0,124,28.0,3553.0,21891.0,14614.0,0.0,40.0,2624.0,7452.0,9236.0,0.0,927.0,2651.0,3.54,1496.0,1496.0,15218.0,473.0,422.802,14326,117.93,2584.0,27743,2291,106,7068,9378,424.33
HCSG,2019,0.0,10.6409,84.287,31.7071,5539,"3220 Tillman Drive, Suite 300",19020,Bensalem,0,0,0,0,0,0,1,7340,HEALTHCARE SERVICES GROUP,731012,USA,515.732,722.592,27.329,36.517,90.711,148.651,262.287,28.82,0.0,45.726,340.93,460.305,1598.937,0.0,59.218,87.379,0.87,64.581,64.581,1840.778,3.459,74.149,16.849,24.32,295.2,692.6,294.63,41.44,440.78,1762.71,73.88
QTRX,2020,0.0,12.5756,84.979,32.5822,32792,"Building 1, 900 Middlesex Turnpike",1821,Billerica,0,0,1,0,0,0,0,3845,QUANTERIX CORP,1503274,USA,219.605,271.045,181.584,14.856,0.0,39.803,64.92,25.907,0.0,0.37,17.184,206.125,33.161,0.0,0.0,-30.862,-1.07,-31.53,-31.53,86.377,0.273,31.797,30.798,46.5,16.81,169.95,10.91,10.46,128.66,26.28,28.11
OPK,2020,0.0,13.2104,83.022,32.1396,61490,4400 Biscayne Boulevard,33137,Miami,0,0,0,0,0,0,1,8071,OPKO HEALTH INC,944809,USA,523.179,2473.063,72.211,132.341,0.0,375.483,801.512,178.289,0.0,2.055,302.256,1671.551,865.437,0.0,0.0,40.525,0.05,30.586,30.586,1419.213,21.934,670.036,294.575,3.95,300.2,2309.27,155.75,53.43,1614.76,543.46,669.83
HUN,2019,57.415,35.3083,84.979,59.2697,162401,10003 Woodloch Forest Drive,77380,The Woodlands,0,0,1,0,0,0,0,2860,HUNTSMAN CORP,1307954,USA,3755.0,8320.0,525.0,914,0.0,2008.0,5496.0,2779.0,0.0,19.0,953.0,2687.0,5154.0,0.0,150.0,459.0,2.46,562.0,562.0,6797.0,115.0,224.296,2815,24.16,934.0,7953,1250,1134,2520,7036,232.99
VCYT,2020,0.0,15.3265,72.246,29.2425,18947,"6000 Shoreline Court, Suite 300",94080,South San Francisco,0,0,1,0,0,0,0,2835,VERACYTE INC,1384101,USA,375.679,457.163,349.364,4.657,0.0,16.781,35.931,16.833,0.0,0.0,18.461,421.232,39.293,0.0,0.0,-31.795,-0.66,-34.909,-34.909,117.483,0.229,58.201,12.316,48.94,18.46,275.21,19.33,6.81,239.46,35.5,49.63
AVTR,2020,21.414,28.8089,72.456,40.9315,35065,"Radnor Corporate Center, Building One, Suite 200, 100 Matson",19087,Radnor,0,0,1,0,0,0,0,3826,AVANTOR INC,1722482,USA,2230.9,9906.5,286.6,739.6,0.0,1242.7,7232.2,675.3,1003.7,26.2,1113.3,2674.3,3917.7,64.6,64.6,718.6,0.09,116.6,52.0,6393.6,307.6,580.1,5026.6,28.15,1087.1,9773.3,970.2,711.2,2462.2,3720.7,572.8
HAYN,2019,15.675,20.0726,87.477,41.1327,23587,"1020 West Park Avenue, PO Box 9013",46904,Kokomo,0,0,1,0,0,0,0,3310,HAYNES INTERNATIONAL INC,858655,USA,371.873,593.8,31.038,258.802,0.0,60.08,297.525,169.966,0.0,0.441,78.736,296.275,405.586,0.0,11.037,17.716,0.78,9.745,9.695,490.215,0.986,12.514,7.979,35.84,78.3,588.69,79.55,273.05,333.22,362.99,12.5
KEYS,2019,63.455,44.1959,93.739,67.1663,20232,1400 Fountaingrove Parkway,95403-1738,Santa Rosa,0,0,1,0,0,0,0,3825,KEYSIGHT TECHNOLOGIES INC,1601046,USA,3215.0,6623.0,1598.0,705,0.0,1003.0,3619.0,576.0,0.0,3.0,713.0,3004.0,1463.0,0.0,0.0,709.0,3.31,621.0,621.0,4303.0,80.0,187.311,1792,100.91,710.0,5824,678,619,2433,1441,186.84
REZI,2019,0.665,15.266,84.979,33.6988,34053,"16100 North 71st Street, Suite 550",85254,Austin,0,0,0,0,1,0,0,5065,RESIDEO TECHNOLOGIES,1740332,USA,1785.0,5128.0,122.0,671,0.0,1494.0,3526.0,453.0,0.0,17.0,817.0,1602.0,3698.0,0.0,0.0,295.0,0.29,36.0,36.0,4988.0,69.0,122.873,1322,11.93,800.0,4972,809,628,1533,3391,122.5
SOI,2019,16.702,28.2648,89.856,44.9955,30547,"9811 Katy Freeway, Suite 700",77024,Houston,0,0,0,0,0,0,1,7359,SOLARIS OILFIELD IF INC,1697500,USA,117.582,505.072,66.882,7.144,0.0,20.387,95.414,314.454,0.0,0.339,38.554,263.847,88.246,0.0,12.76,107.93,1.69,52.007,50.887,241.687,0.106,30.765,8.611,14.0,38.22,458.61,39.75,10.47,198.45,71.43,27
WCC,2020,26.065,29.8368,87.477,47.8423,120444,"225 West Station Square Drive, Suite 700",15219,Pittsburgh,0,0,0,0,1,0,0,5063,WESCO INTL INC,929008,USA,5506.978,11880.214,449.135,2163.831,0.0,2986.995,8543.825,933.862,0.0,23.9,2725.502,3343.722,9954.636,30.139,30.139,503.151,1.53,100.56,70.421,12325.995,193.091,50.065,5441.994,78.5,2701.6,5017.64,1276.32,1011.67,2265.48,6777.46,41.8
VPG,2020,0.0,11.0339,83.594,31.6065,185138,"3 Great Valley Parkway, Suite 150",19355,Malvern,0,0,1,0,0,0,0,3674,VISHAY PRECISION GROUP INC,1487952,USA,221.886,401.887,98.438,62.348,0.0,47.547,144.03,96.804,0.0,0.879,45.339,257.823,152.031,0.0,0.0,26.218,0.8,10.787,10.787,269.812,1.366,13.575,64.159,31.48,44.46,370.41,42.64,66.9,241.36,159.29,13.52
ACHC,2020,0.423,10.6409,84.979,32.0793,192255,"6100 Tower Circle, Suite 1000",37067,Franklin,0,0,0,0,0,0,1,8060,ACADIA HEALTHCARE CO INC,1520697,USA,2523.395,6499.362,378.697,4.851,0.0,1308.185,4544.591,1719.833,0.0,0.0,297.083,1899.456,1399.614,0.0,0.0,332.787,-7.65,-672.132,-672.132,2089.929,158.105,88.024,3268.303,50.26,297.08,6879.14,378.2,4.76,2505.38,2163.45,87.72
MOD,2020,16.793,15.6892,87.477,40.0463,7486,1500 DeKoven Avenue,53403,Racine,0,0,1,0,0,0,0,3714,MODINE MANUFACTURING CO,67347,USA,644.8,1276.7,37.8,195.6,3.7,469.2,920.6,324.0,0.0,1.3,273.6,348.7,1445.8,0.0,0.0,95.8,-4.11,-210.7,-210.7,1808.4,19.4,51.6,389.1,14.77,272.3,1536.1,312.3,207.4,487.9,1587.8,50.9
GGG,2019,0.0,16.445,87.477,34.7048,5252,88-11th Avenue Northeast,55413,Minneapolis,0,0,1,0,0,0,0,3561,GRACO INC,42888,USA,791.468,1692.21,220.973,273.233,0.0,285.322,667.279,355.437,0.0,4.8,267.345,1024.931,738.589,0.0,109.199,424.456,2.06,343.853,343.853,1646.045,13.11,167.287,196.164,52.0,262.55,1472.74,269.81,283.98,751.87,724.05,165.17
EBS,2020,1.329,26.6324,91.24,39.7948,176022,"400 Professional Drive, Suite 400",20879,Gaithersburg,0,0,1,0,0,0,0,2836,EMERGENT BIOSOLUTIONS INC,1367644,USA,1195.9,2883.2,621.3,307,0.2,384.5,1436.2,675.1,0.0,3.1,230.9,1447.0,456.6,0.0,0.0,512.4,5.79,305.1,305.1,1555.4,31.3,53.1,908,89.6,227.8,2327.3,275.3,222.5,1088.5,353.1,51.7
CNX,2019,57.083,30.3809,93.739,60.4466,120093,"CNX Center, Suite 400, 1000 CONSOL Energy Drive",15317-6506,Canonsburg,1,0,0,0,0,0,0,1311,CNX RESOURCES CORPORATION,1070412,USA,498.101,9060.806,16.283,6.984,0.0,528.939,4098.497,7323.672,0.0,0.0,209.584,4160.546,1111.581,0.0,0.0,184.873,-0.42,-80.73,-80.73,1924.346,151.379,186.643,2941.449,8.85,209.58,8592.17,412.98,9.72,4329.96,714.89,198.66
ZWS,2019,26.367,15.6892,87.477,43.2351,180474,511 West Freshwater Way,53204,Milwaukee,0,0,1,0,0,0,0,3430,ZURN ELKAY WATER SOLUTI CORP,1439288,USA,1264.3,3627.1,573.4,317.5,0.0,455.5,2313.4,449.9,0.0,3.4,338.1,1311.0,1199.1,14.4,24.2,352.3,1.48,180.1,165.7,2068.3,58.6,119.719,1549.3,22.67,334.7,3259.7,334.5,316.5,1228.6,1208.1,104.84
KEYS,2020,63.455,44.1959,93.739,67.1663,20232,1400 Fountaingrove Parkway,95403-1738,Santa Rosa,0,0,1,0,0,0,0,3825,KEYSIGHT TECHNOLOGIES INC,1601046,USA,3374.0,7218.0,1756.0,757,9.0,1081.0,3921.0,777.0,0.0,3.0,659.0,3297.0,1364.0,0.0,0.0,737.0,3.35,627.0,627.0,4221.0,78.0,184.929,1981,104.87,656.0,6623,710,705,3004,1463,187.31
WWW,2020,18.423,16.838,87.477,40.9717,11566,9341 Courtland Drive N.E.,49351,Rockford,0,0,1,0,0,0,0,3140,WOLVERINE WORLD WIDE,110471,USA,904.2,2137.4,347.4,243.1,0.0,406.0,1564.4,267.1,0.0,6.7,268.3,561.4,1014.4,0.0,33.1,122.8,-1.7,-136.9,-137.7,1791.1,43.6,82.142,886.8,31.25,261.6,2480,319.1,348.2,766.7,1317.2,81.15
HI,2020,21.897,22.5816,84.979,43.2049,179657,One Batesville Boulevard,47006,Batesville,0,0,1,0,0,0,0,3530,HILLENBRAND INC,1417398,USA,1369.7,3987.4,302.2,385.4,9.6,852.1,2908.0,468.6,0.0,0.0,417.6,1059.0,1602.9,0.0,64.0,327.4,-0.82,-60.1,-60.1,2517.0,77.4,74.8,1704.7,28.36,417.6,2228.6,398.5,176.6,754.1,1159.7,62.7
CERS,2019,0.0,10.7013,84.979,31.9586,64327,"1220 Concord Avenue, Suite 600",94520,Concord,0,0,1,0,0,0,0,2836,CERUS CORP,1020214,USA,128.108,165.535,34.986,19.49,50.732,50.336,108.483,29.02,0.0,0.0,18.678,57.052,31.016,0.0,0.0,-66.226,-0.51,-71.244,-71.244,93.774,3.965,144.291,59.433,4.22,18.68,163.46,11.73,13.54,84.52,30.33,136.85
LSCC,2019,15.615,14.6312,87.477,39.3019,16597,5555 NE Moore Court,97124-6421,Hillsboro,0,0,1,0,0,0,0,3674,LATTICE SEMICONDUCTOR CORP,855658,USA,262.43,612.016,118.081,54.98,0.0,99.819,284.357,62.821,0.0,0.106,70.486,327.659,154.409,0.0,0.0,63.367,0.33,43.493,43.493,404.093,11.731,133.883,172.67,19.14,70.38,623.69,60.69,67.1,258.46,158.13,129.73
AME,2020,0.0,12.5756,87.477,33.4172,1598,1100 Cassatt Road,19312-1177,Berwyn,0,0,1,0,0,0,0,3823,AMETEK INC,1037868,USA,2522.47,10357.483,1212.822,559.171,0.0,1075.915,4408.137,693.763,0.0,0.0,666.443,5949.346,2697.512,0.0,165.035,1071.812,3.8,872.439,872.439,4540.029,86.062,230.519,2514.701,120.94,666.44,9844.56,806.56,624.57,5115.49,3136.86,229.08
