Ticker,YEAR,Environmental ,Social,Governance,ESG_score,GVKEY,Address Line 1,Postal Code,City,Mining,Construction,Manufactuing,Transportation Public Utilities,Wholesale Trade,Retail Trade,Services,SIC code,Company Name,CIK Number,Country Code,Current Assets,Assets,Cash,Inventory,Current Marketable Securities,Current Liabilities,Liabilities,"Property, Plant and Equipment",Preferred/Preference Stock,Allowance for Doubtful Receivables ,Total Receivables ,Stockholders Equity,Cost of Goods Sold,Dividends - Preferred/Preference,Dividends ,Earnings Before Interest and Taxes,Earnings Per Share (Basic),Net Income (Loss),Net Income Adjusted for common stocks,Sales/Turnover (Net),Interest and Related Expense,Common Shares Outstanding,Total Debt Including Current,Price Close - Annual -,Net receivables,Total assets last year ,Net receivables last year,Inventory last year,Stockholder equity last year,Cost of Goods Sold last year,Common shares outstanding last year
ORLY,2020,0.755,9.7944,87.477,32.7432,28180,233 South Patterson Avenue,65802-2298,Springfield,0,0,0,0,0,1,0,5531,O'REILLY AUTOMOTIVE INC,898173,USA,4499.787,11596.642,465.64,3653.195,0.0,5262.417,11456.384,6090.045,0.0,12.67,330.294,140.258,5204.166,0.0,0.0,2419.336,23.74,1752.302,1752.302,11604.493,171.306,71.123,6164.686,452.57,317.62,10717.16,279.99,3454.09,397.34,4484.42,75.62
AZO,2020,14.709,12.8476,84.407,37.3805,23809,123 South Front Street,38103,Memphis,0,0,0,0,0,1,0,5531,AUTOZONE INC,866787,USA,6811.872,14423.872,1750.815,4473.282,76.118,6283.091,15301.849,7090.898,0.0,10.0,364.774,-877.977,5463.748,0.0,0.0,2501.579,73.62,1732.972,1732.972,12631.967,208.021,23.376,8462.13,1196.31,354.77,9895.91,300.5,4319.11,-1713.85,5128.79,24.04
BBWI,2019,17.638,13.4825,84.979,38.7587,6733,Three Limited Parkway,43230,Columbus,0,0,0,0,0,1,0,5990,BATH & BODY WORKS INC,701985,USA,3245.0,10125.0,1499.0,1287,0.0,2372.0,11620.0,5539.0,0.0,0.0,306.0,-1499.0,7876.0,0.0,332.0,978.0,-1.33,-366.0,-366.0,12914.0,378.0,277.0,9099,23.16,306.0,8090,367,1248,-869,7734,275
TTSH,2020,0.332,13.2104,83.594,32.4414,13861,14000 Carlson Parkway,55441,Plymouth,0,0,0,0,0,1,0,5700,TILE SHOP HOLDINGS INC,1552800,USA,104.654,342.69,9.617,74.296,0.655,76.804,203.628,231.409,0.0,0.2,11.091,139.062,72.196,0.0,0.0,8.531,0.12,6.031,6.031,325.057,1.874,51.701,149.901,4.3,10.89,399.81,6.16,97.62,130.9,70.69,50.81
ANF,2020,30.444,16.0218,87.477,44.7038,63643,6301 Fitch Path,43054,New Albany,0,0,0,0,0,1,0,5651,ABERCROMBIE & FITCH -CL A,1018840,USA,1661.629,3314.902,1104.862,404.053,4.481,959.399,2365.59,1444.576,0.0,0.0,83.857,936.628,1219.379,0.0,12.556,13.414,-1.82,-114.021,-114.021,3125.384,31.726,62.399,1550.344,23.07,83.86,3549.67,80.25,434.33,1058.81,1298.53,62.79
CWH,2019,0.332,12.5756,84.979,32.6929,19071,"250 Parkway Drive, Suite 270",60069,Lincolnshire,0,0,0,0,0,1,0,5500,CAMPING WORLD HOLDINGS INC,1669779,USA,1690.681,3376.24,147.521,1358.539,0.0,1295.954,3535.476,1121.911,0.005,3.537,126.794,-32.602,3562.127,0.0,22.878,133.046,-1.62,-60.591,-60.591,4892.019,109.471,37.489,2110.446,14.74,123.26,2806.69,134.53,1558.97,44.54,3429.09,37.19
ORLY,2019,0.332,9.7944,87.477,32.6024,28180,233 South Patterson Avenue,65802-2298,Springfield,0,0,0,0,0,1,0,5531,O'REILLY AUTOMOTIVE INC,898173,USA,3833.662,10717.16,40.406,3454.092,0.0,4469.427,10319.82,5876.572,0.0,14.417,294.407,397.34,4484.419,0.0,0.0,1920.726,18.07,1391.042,1391.042,10149.985,152.973,75.619,5861.885,438.26,279.99,7980.79,256.94,3193.34,353.67,4236.63,79.04
RH,2019,1.722,14.873,84.979,33.9201,111873,15 Koch Road,94925,Corte Madera,0,0,0,0,0,1,0,5712,RH,1528849,USA,596.952,2445.694,47.658,438.696,0.0,982.912,2427.043,1516.818,0.0,2.2,49.176,18.651,1492.098,0.0,0.0,357.196,11.55,220.375,220.375,2647.046,93.439,19.237,1868.005,208.75,46.98,1806.03,93.19,531.95,-22.96,1432.74,20.48
EYE,2019,0.0,17.5635,84.979,34.242,32574,"Building 2200, 2435 Commerce Avenue",30096,Duluth,0,0,0,0,0,1,0,5990,NATIONAL VISION HOLDINGS INC,1710155,USA,234.639,2032.725,39.342,127.556,0.0,273.179,1256.288,714.857,0.0,3.04,45.575,776.437,806.519,0.0,0.0,79.341,0.42,32.798,32.798,1724.331,33.3,79.678,953.398,32.43,42.54,1661.39,48.92,116.02,743.15,713.57,78.17
WING,2020,0.0,15.7195,84.979,33.6284,23843,15505 Wright Brothers Drive,75001,Addison,0,0,0,0,0,1,0,5812,WINGSTOP INC,1636222,USA,72.62,211.565,40.858,0.396,4.815,50.473,552.875,34.242,0.0,1.053,8.531,-341.31,48.583,0.0,164.331,58.248,0.79,23.306,23.306,248.811,16.782,29.687,478.394,132.55,7.48,166.11,5.84,0.32,-209.43,41.11,29.46
ULTA,2020,4.259,17.9262,87.477,36.616,178704,"1000 Remington Boulevard, Suite 120",60440,Bolingbrook,0,0,0,0,0,1,0,5990,ULTA BEAUTY INC,1403568,USA,2514.777,5089.969,1046.051,1168.215,0.0,1343.713,3090.42,2500.409,0.0,0.768,193.109,1999.549,3905.022,0.0,0.0,271.236,3.12,175.835,175.835,6151.953,5.735,56.26,1896.801,279.76,192.34,4863.87,137.97,1293.7,1902.09,4421.41,56.61
FLL,2020,0.0,11.5478,83.022,31.5864,28749,"One Summerlin, Suite 680, 1980 Festival Plaza Drive",89135,Las Vegas,0,0,0,0,0,0,1,7990,FULL HOUSE RESORTS INC,891482,USA,46.574,212.616,37.698,1.511,0.0,24.251,155.939,133.133,0.0,0.176,4.904,56.677,58.755,0.0,0.0,11.16,0.01,0.147,0.147,125.589,10.676,27.124,129.244,3.93,4.73,211.34,2.07,2.29,56.1,93.79,27.08
RRR,2019,14.376,15.4172,84.979,38.3161,26361,1505 South Pavilion Center Drive,89135,Las Vegas,0,0,0,0,0,0,1,7011,RED ROCK RESORTS INC,1653653,USA,281.63,4114.187,128.835,17.765,4.08,275.996,3331.59,3313.301,0.001,4.9,56.683,500.717,949.941,0.0,28.095,268.027,-0.05,-3.351,-3.351,1856.534,178.923,70.465,3047.612,23.95,51.78,4009.53,49.06,14.91,519.62,794.06,69.66
JBLU,2019,22.32,13.4825,93.739,43.2451,147305,27-01 Queens Plaza North,11101,Long Island City,0,0,0,1,0,0,0,4512,JETBLUE AIRWAYS CORP,1158463,USA,1786.0,11918.0,959.0,81,369.0,2663.0,7119.0,9526.0,0.0,1.0,231.0,4799.0,5359.0,0.0,0.0,814.0,1.92,569.0,569.0,8094.0,79.0,282.0,3152,18.72,230.0,10426,210,78,4611,5091,306
ESPR,2020,14.376,13.3615,83.594,37.1693,18162,"3891 Ranchero Drive, Suite 150",48108,Ann Arbor,0,0,1,0,0,0,0,2834,ESPERION THERAPEUTICS INC,1434868,USA,345.896,353.258,304.962,16.136,0.0,94.069,449.392,7.306,0.0,0.0,12.388,-96.134,335.896,0.0,0.0,-108.896,-5.23,-143.551,-143.551,227.547,22.67,25.916,362.012,26.0,12.39,214.45,0,0,19.95,241.15,27.5
TA,2020,0.332,12.5756,84.287,32.4615,148350,"24601 Center Ridge Road, Suite 200",44145-5639,Westlake,0,0,0,0,0,1,0,5500,TRAVELCENTERS OF AMERICA INC,1378453,USA,785.916,3443.86,483.151,172.83,0.0,445.197,2802.881,2536.672,0.0,1.016,94.429,640.566,3459.426,0.0,0.0,52.253,-1.23,-13.899,-13.477,4846.037,30.479,14.574,2399.818,32.6,93.41,3230.9,172.41,196.61,571.05,4599.03,8.31
PRDO,2019,1.752,10.006,84.979,32.3106,66379,231 North Martingale Road,60173,Schaumburg,0,0,0,0,0,0,1,8200,PERDOCEO EDUCATION CORP,1046568,USA,360.385,599.146,108.687,0.576,185.488,103.813,167.851,76.372,0.0,29.856,56.399,431.295,101.944,0.0,0.0,123.562,1.0,69.982,69.982,627.704,0.167,70.151,64.175,18.39,26.54,482.49,8.01,0.76,355.2,109.9,69.77
CVI,2019,0.332,11.0339,83.594,31.7171,178672,"2277 Plaza Drive, Suite 500",77479,Sugar Land,0,0,1,0,0,0,0,2911,CVR ENERGY INC,1376139,USA,1291.0,3905.0,652.0,390,0.0,596.0,2237.0,2384.0,0.0,0.0,186.0,1393.0,5384.0,0.0,306.0,576.0,3.78,380.0,380.0,6364.0,102.0,100.531,1243,40.43,186.0,3907,169,380,1246,6206,100.53
CNK,2019,0.332,10.6409,84.979,32.0491,177108,3900 Dallas Parkway,75093,Plano,0,0,0,0,0,0,1,7830,CINEMARK HOLDINGS INC,1385280,USA,634.99,5828.017,488.313,21.686,0.0,708.8,4379.695,3118.327,0.0,0.0,87.804,1435.814,2614.591,0.0,159.281,407.396,1.63,191.386,190.212,3283.099,128.565,117.152,3375.254,33.85,87.8,4481.84,98.37,19.32,1443.74,2498.75,116.83
GRWG,2020,0.0,12.5756,79.892,30.8822,28515,"5619 DTC Parkway, Suite 900",80111,Greenwood Village,0,0,0,0,0,1,0,5200,GROWGENERATION CORP,1604868,USA,250.229,354.734,177.912,54.024,0.0,27.35,37.737,18.563,0.0,0.192,7.168,316.997,142.317,0.0,0.0,8.437,0.12,5.328,5.328,193.365,0.014,57.151,12.721,40.22,6.98,72.02,4.16,22.66,53.89,57.17,36.88
HZO,2020,1.148,14.6312,84.979,33.6485,111103,"2600 McCormick Drive, Suite 200",33759,Clearwater,0,0,0,0,0,1,0,5500,MARINEMAX INC,1057060,USA,503.327,775.319,155.493,298.002,0.0,272.534,319.922,179.925,0.0,0.0,42.795,455.397,1098.244,0.0,0.0,106.715,3.46,74.634,74.634,1509.713,9.275,21.863,47.67,25.67,42.8,784.08,44.9,477.47,368.82,902.74,21.32
WING,2019,0.0,12.1221,84.979,32.4313,23843,15505 Wright Brothers Drive,75001,Addison,0,0,0,0,0,1,0,5812,WINGSTOP INC,1636222,USA,30.19,166.113,12.849,0.315,4.79,32.929,375.541,36.084,0.0,0.0,5.842,-209.428,41.105,0.0,11.742,42.901,0.7,20.476,20.476,199.676,17.136,29.457,320.65,86.23,5.84,139.75,5.76,0.3,-224.83,32.06,29.3
MNRO,2019,0.0,13.7848,84.979,32.9846,24350,200 Holleder Parkway,14615,Rochester,0,0,0,0,0,0,1,7500,MONRO INC,876427,USA,596.02,2049.457,345.476,187.441,0.0,254.936,1315.017,724.941,0.033,0.0,38.798,734.44,714.88,0.449,29.715,108.574,1.73,58.024,57.575,1256.524,28.213,33.284,1098.165,43.81,38.8,1312.29,34.37,171.04,699.51,679.47,33.15
LE,2019,16.128,12.0617,84.979,37.7829,19581,1 Lands' End Lane,53595,Dodgeville,0,0,0,0,0,1,0,5961,LANDS' END INC,799288,USA,545.378,1113.629,77.148,375.67,2.149,283.566,765.247,196.33,0.0,0.511,50.953,348.382,828.309,0.0,0.0,46.794,0.6,19.29,19.29,1450.201,25.987,32.382,429.512,11.65,50.44,1110.91,34.01,321.91,322.71,835.54,32.22
SIGA,2020,0.0,12.5756,83.022,31.9284,65376,31 East 62nd Street,10065,New York,0,0,1,0,0,0,0,2836,SIGA TECHNOLOGIES INC,1010086,USA,143.608,149.831,117.89,20.266,0.0,10.484,20.038,2.104,0.0,0.0,3.34,129.793,14.797,0.0,0.0,84.501,0.71,56.342,56.342,124.959,3.017,77.196,2.35,7.27,3.34,198.57,4.17,9.65,97.78,28.54,81.27
TCS,2019,0.0,11.7291,86.785,32.9041,18842,500 Freeport Parkway,75019-3863,Coppell,0,0,0,0,0,1,0,5700,CONTAINER STORE GROUP,1411688,USA,242.166,1166.814,67.755,124.207,0.0,198.171,895.106,494.71,0.0,0.326,29.445,271.708,382.488,0.0,0.0,43.118,0.3,14.487,14.487,915.953,21.541,48.317,704.197,2.36,29.12,748.74,26.51,108.65,264.69,371.41,48.14
GRPN,2019,14.376,13.2406,84.979,37.5918,187363,"600 West Chicago Avenue, Suite 400",60654,Chicago,0,0,0,0,0,0,1,7370,GROUPON INC,1490281,USA,887.913,1586.743,750.887,25.426,1.534,821.547,1191.697,233.34,0.0,0.0,59.744,393.936,983.048,0.0,0.0,39.868,-0.04,-22.377,-22.377,2218.915,23.593,565.815,371.762,2.39,59.74,1642.14,76.21,33.74,381.25,1265.08,569.08
GRWG,2019,0.0,9.7944,83.022,31.0029,28515,"5619 DTC Parkway, Suite 900",80111,Greenwood Village,0,0,0,0,0,1,0,5200,GROWGENERATION CORP,1604868,USA,42.644,72.022,12.979,22.66,0.0,12.081,18.13,10.969,0.0,0.291,4.455,53.892,57.172,0.0,0.0,2.14,0.06,1.879,1.879,79.734,0.401,36.876,7.996,4.1,4.16,35.89,0.73,8.87,30.06,22.56,27.95
SKYW,2019,1.903,15.266,87.477,34.9462,12392,444 South River Road,84790,Saint George,0,0,0,1,0,0,0,4512,SKYWEST INC,793733,USA,760.346,6657.129,87.206,110.503,432.966,924.676,4482.115,5730.69,0.0,0.018,94.118,2175.014,1826.009,0.0,24.364,534.127,6.68,340.099,340.099,2971.963,129.355,50.323,3347.158,64.63,94.1,6313.21,89.97,127.69,1964.28,2139.98,51.39
UAL,2019,29.81,23.0653,87.477,46.8363,10795,233 South Wacker Drive,60606,Chicago,0,0,0,1,0,0,0,4512,UNITED AIRLINES HOLDINGS INC,100517,USA,8194.0,52611.0,2762.0,1072,2182.0,14938.0,41080.0,34928.0,0.0,9.0,1364.0,11531.0,30149.0,0.0,0.0,4547.0,11.63,3009.0,3009.0,43259.0,731.0,251.216,20450,88.09,1355.0,44792,1338,985,9995,29483,269.92
PBF,2019,1.571,13.6034,84.979,33.4473,196159,"One Sylvan Way, Second Floor",7054,Parsippany,0,0,1,0,0,0,0,2911,PBF ENERGY INC,1534504,USA,3823.7,9132.4,814.9,2122.2,0.0,2509.2,5546.9,4353.8,0.0,0.0,835.0,3039.6,23427.9,0.0,143.8,618.3,2.66,319.4,318.9,24508.2,177.7,119.805,2395,31.37,835.0,8005.42,718.21,1865.83,2676.47,26379.63,119.87
BLMN,2019,1.329,12.757,87.477,33.9201,171049,"2202 North West Shore Boulevard, Suite 500",33607,Tampa,0,0,0,0,0,1,0,5812,BLOOMIN' BRANDS INC,1546417,USA,340.468,3592.683,67.145,86.861,0.0,962.021,3415.202,2302.625,0.0,0.0,141.112,170.342,3467.164,0.0,35.734,191.09,1.47,130.573,130.573,4139.389,49.257,86.946,2499.621,22.07,141.11,2464.77,122.37,72.81,45.73,3456.1,91.27
HZO,2019,0.0,12.5756,84.979,32.5822,111103,"2600 McCormick Drive, Suite 200",33759,Clearwater,0,0,0,0,0,1,0,5500,MARINEMAX INC,1057060,USA,568.583,784.083,38.511,477.468,0.0,412.893,415.264,144.298,0.0,0.0,44.898,368.819,902.738,0.0,0.0,60.532,1.61,35.985,35.985,1237.153,11.579,21.322,0,15.48,44.9,640.54,34,377.07,353.09,868.47,22.67
BURL,2020,35.729,19.1959,84.979,46.6854,18675,2006 Route 130 North,8016,Burlington,0,0,0,0,0,1,0,5600,BURLINGTON STORES INC,1579298,USA,2510.616,6781.092,1380.276,740.788,6.582,1683.996,6316.338,3908.229,0.0,4.855,281.861,464.754,3280.414,0.0,0.0,-49.686,-3.28,-216.499,-216.499,5763.98,97.767,66.386,4637.08,248.9,277.01,5593.86,90.71,777.25,528.15,4225.76,65.93
CATO,2019,14.376,14.5707,86.785,38.638,2818,8100 Denmark Road,28273-5975,Charlotte,0,0,0,0,0,1,0,5621,CATO CORP -CL A,18255,USA,362.797,684.976,11.824,115.365,204.283,199.302,368.462,289.47,0.0,0.726,26.088,316.514,508.906,0.0,32.592,37.171,1.46,35.897,34.617,825.335,0.029,24.3,210.333,16.04,25.36,497.91,27.3,119.59,316.84,522.54,24.6
CNTY,2020,0.0,16.3543,84.979,33.8397,29151,"455 East Pikes Peak Avenue, Suite 210",80903,Colorado Springs,0,0,0,0,0,0,1,7990,CENTURY CASINOS INC,911147,USA,94.622,680.76,63.413,1.66,0.0,60.163,553.777,519.322,0.0,0.0,8.237,118.154,149.65,0.0,0.0,22.403,-1.62,-48.002,-48.002,304.268,43.104,29.576,500.308,6.39,8.24,726.9,11.37,2.05,163.31,113.14,29.5
PII,2019,34.944,25.4534,84.979,48.5062,14311,2100 Highway 55,55340,Medina,0,0,1,0,0,0,0,3790,POLARIS INC,931015,USA,1626.96,4430.529,157.064,1121.111,0.0,1527.99,3308.729,1009.962,13.598,9.34,222.877,1121.597,4951.995,0.0,149.101,425.551,5.27,323.96,323.96,6782.518,77.589,61.412,1806.339,101.7,213.54,4124.92,224.11,969.51,873.85,4423.1,60.89
CHS,2020,16.46,15.4172,93.739,41.9374,27981,11215 Metro Parkway,33966,Fort Myers,0,0,0,0,0,1,0,5621,CHICOS FAS INC,897429,USA,402.038,1274.878,90.791,203.983,18.559,431.786,1109.759,827.431,0.0,0.0,66.865,165.119,998.024,0.0,10.855,-254.004,-3.11,-360.144,-360.304,1324.051,3.101,119.735,859.348,2.21,66.87,1542.66,19.45,246.74,530.09,1247,118.42
RUSHA,2019,14.376,12.8476,87.477,38.2959,63000,"555 IH 35 South, Suite 500",78130,New Braunfels,0,0,0,0,0,1,0,5500,RUSH ENTERPRISES INC,1012019,USA,1712.551,3407.329,181.62,1326.08,0.0,1507.389,2247.836,1337.128,0.0,1.424,183.704,1159.493,4784.219,0.0,18.317,216.507,3.86,141.583,141.583,5809.847,30.875,36.194,777.717,46.5,182.28,3201.35,202.12,1339.92,1066.93,4527.92,37
RRR,2020,14.376,15.4172,84.979,38.3161,26361,1505 South Pavilion Center Drive,89135,Las Vegas,0,0,0,0,0,0,1,7011,RED ROCK RESORTS INC,1653653,USA,248.959,3739.954,121.176,13.079,4.529,200.257,3135.313,3103.196,0.001,8.2,35.13,352.598,501.299,0.0,7.097,125.111,-2.13,-150.397,-150.397,1182.445,150.055,71.228,2915.893,25.04,26.93,4114.19,51.78,17.77,500.72,949.94,70.47
PII,2020,52.884,27.2672,84.979,55.085,14311,2100 Highway 55,55340,Medina,0,0,1,0,0,0,0,3790,POLARIS INC,931015,USA,2207.5,4632.7,634.7,1177.6,0.0,1889.4,3475.6,1014.2,12.3,5.3,261.1,1156.8,5115.3,0.0,152.5,535.7,2.02,124.8,124.8,7025.0,66.7,61.9,1577.7,95.28,255.8,4430.53,213.54,1121.11,1121.6,4952,61.41
XXII,2019,0.0,9.1596,83.594,30.9828,17185,"500 Seneca Street, Suite 507",14204,Buffalo,0,0,1,0,0,0,0,2836,22ND CENTURY GROUP INC,1347858,USA,42.743,68.951,0.485,2.266,38.477,5.78,6.9,3.722,0.0,0.0,0.867,62.051,25.819,0.0,0.0,-21.705,-0.21,-26.559,-26.559,25.833,0.056,138.363,1.475,1.1,0.87,77.3,0.87,3.04,71.28,25.53,124.64
IONS,2019,0.0,15.3567,87.477,34.3426,24040,2855 Gazelle Court,92010,Carlsbad,0,0,1,0,0,0,0,2834,IONIS PHARMACEUTICALS INC,874015,USA,2720.597,3233.112,683.287,18.18,1820.969,273.005,1548.565,166.251,0.0,0.0,63.034,1471.094,73.132,0.0,0.0,365.883,2.12,294.146,296.563,1122.599,48.768,140.34,787.526,60.41,63.03,2667.78,12.76,8.58,1048.08,47.99,137.93
GEVO,2019,0.0,5.1391,84.407,29.9165,186437,"Building C, Suite 310, 345 Inverness Drive South",80112,Englewood,0,0,1,0,0,0,0,2860,GEVO INC,1392380,USA,24.228,93.359,16.302,3.201,0.0,20.094,20.855,67.296,0.0,0.0,1.135,72.504,30.451,0.0,0.0,-26.351,-2.35,-28.66,-28.66,24.487,2.732,14.083,15.349,2.31,1.14,107.04,0.53,3.17,88.79,35.25,8.64
LVS,2019,56.388,21.3724,89.856,55.9199,161844,3355 Las Vegas Boulevard South,89109,Las Vegas,0,0,0,0,0,0,1,7990,LAS VEGAS SANDS CORP,1300514,USA,5305.0,23199.0,4226.0,37,16.0,3224.0,16692.0,17306.0,0.0,282.0,844.0,5187.0,6832.0,0.0,2367.0,3884.0,3.5,2698.0,2698.0,13739.0,564.0,763.485,12825,69.04,562.0,22547,402,35,5684,6974,775.46
FND,2019,23.467,20.4655,84.979,43.0238,22155,2500 Windy Ridge Parkway SE,30339,Atlanta,0,0,0,0,0,1,0,5211,FLOOR & DECOR HLDGS,1507079,USA,701.486,2324.309,27.037,581.865,0.0,552.541,1559.973,1278.545,0.0,0.266,72.169,764.336,1112.555,0.0,0.0,171.149,1.51,150.631,150.631,2045.456,8.801,101.458,1061.467,50.81,71.9,1234.09,71.67,471.01,584.31,957.07,97.59
AEO,2020,24.132,13.4825,84.979,40.9214,30059,77 Hot Metal Street,15203-2329,Pittsburgh,0,0,0,0,0,1,0,5600,AMERN EAGLE OUTFITTERS INC,919012,USA,1522.643,3434.806,850.477,405.445,0.0,858.482,2348.141,1779.773,0.0,0.0,146.102,1086.665,2610.203,0.0,22.854,8.481,-1.26,-209.274,-209.274,3759.113,26.874,166.335,1802.656,22.69,146.1,3328.68,119.06,446.28,1247.85,2782.74,166.99
NEM,2020,84.416,67.8356,93.739,82.0139,7881,"6900 East Layton Avenue, Suite 700",80237,Denver,1,0,0,0,0,0,0,1040,NEWMONT CORP,1164727,USA,8505.0,41369.0,5540.0,1790,292.0,3369.0,17490.0,24281.0,0.0,0.0,449.0,23008.0,5029.0,0.0,839.0,3224.0,3.52,2829.0,2829.0,11497.0,332.0,800.0,6810,59.89,449.0,39974,373,1826,21420,5231,808
PARR,2019,15.192,15.7497,83.594,38.2356,22447,"825 Town & Country Lane, Suite 1500",77024,Houston,0,0,1,0,0,0,0,2911,PAR PACIFIC HOLDINGS INC,821483,USA,1032.174,2700.56,126.015,615.872,12.719,1034.322,2052.318,1382.016,0.0,0.0,228.718,648.242,5124.378,0.0,0.0,152.684,0.8,40.809,40.371,5401.516,74.839,53.254,1040.85,23.24,228.72,1460.73,160.34,322.07,512.33,3228.95,46.98
PATK,2019,0.0,12.1826,84.287,32.2201,8386,"107 West Franklin Street, PO Box 638",46515,Elkhart,0,0,1,0,0,0,0,3714,PATRICK INDUSTRIES INC,76605,USA,516.834,1470.993,139.39,253.87,0.0,186.935,973.512,274.395,0.0,0.0,87.536,497.481,1887.324,0.0,5.938,152.042,3.88,89.566,89.566,2337.082,36.616,23.754,769.515,52.43,87.54,1231.23,82,272.9,408.75,1826.36,23.53
IIIV,2019,0.0,10.006,74.202,28.1259,33638,"40 Burton Hills Boulevard, Suite 415",37215,Nashville,0,0,0,0,0,0,1,7374,I3 VERTICALS INC,1728688,USA,20.571,349.302,1.119,1.294,0.0,35.235,206.861,5.026,0.001,0.232,15.335,80.073,287.104,0.0,0.0,11.638,-0.29,-3.045,-3.045,376.307,5.852,14.444,139.298,20.12,15.1,175.14,12.3,0.93,39.3,254.86,9.11
GCO,2019,0.332,6.3785,87.477,31.4656,5109,"Genesco Park, 1415 Murfreesboro Pike, PO Box 731",37217-2895,Nashville,0,0,0,0,0,1,0,5661,GENESCO INC,18498,USA,508.183,1680.478,81.418,365.269,0.0,361.935,1061.135,973.364,1.009,0.0,29.195,619.343,1084.377,0.0,0.0,94.055,3.95,61.384,61.384,2197.066,3.339,14.697,805.037,39.32,29.2,1181.08,132.39,366.67,737.55,1089.34,19.1
LUV,2019,53.941,34.5224,91.24,59.9437,9882,PO Box 36611,75235-1611,Dallas,0,0,0,1,0,0,0,4512,SOUTHWEST AIRLINES,92380,USA,5974.0,25895.0,2548.0,529,1524.0,8952.0,16063.0,18374.0,0.0,0.0,1086.0,9832.0,15102.0,0.0,377.0,3081.0,4.28,2300.0,2300.0,22428.0,118.0,519.064,3996,53.98,1086.0,26243,568,461,9853,14706,552.6
NEM,2019,82.996,66.8077,93.739,81.1991,7881,"6900 East Layton Avenue, Suite 700",80237,Denver,1,0,0,0,0,0,0,1040,NEWMONT CORP,1164727,USA,6272.0,39974.0,2243.0,1826,239.0,2385.0,17557.0,25276.0,0.0,0.0,373.0,21420.0,5231.0,0.0,690.0,1541.0,3.82,2805.0,2805.0,9740.0,327.0,808.0,6909,43.45,373.0,20715,346,1327,10502,4433,533
AAL,2019,50.076,29.3229,87.477,55.6684,1045,1 Skyview Drive,76155,Fort Worth,0,0,0,1,0,0,0,4512,AMERICAN AIRLINES GROUP INC,6201,USA,8206.0,59995.0,280.0,1851,3704.0,18311.0,60113.0,43732.0,0.0,31.0,1750.0,-118.0,32027.0,0.0,180.0,3706.0,3.8,1686.0,1686.0,45768.0,1095.0,428.203,33444,28.68,1719.0,60580,1677,1522,-169,31365,460.61
RUSHA,2020,30.504,25.393,87.477,47.8423,63000,"555 IH 35 South, Suite 500",78130,New Braunfels,0,0,0,0,0,1,0,5500,RUSH ENTERPRISES INC,1012019,USA,1357.726,2985.393,312.048,858.291,0.0,1026.794,1717.356,1264.296,0.0,1.605,172.481,1268.037,3860.473,0.0,22.461,152.753,2.09,114.887,114.887,4735.94,9.891,54.89,708.118,41.42,170.88,3407.33,182.28,1326.08,1159.49,4784.22,36.19
SKY,2019,0.423,12.5756,83.594,32.2603,33652,"755 West Big Beaver Road, Suite 1000",48084,Troy,0,0,1,0,0,0,0,2451,SKYLINE CHAMPION CORP,90896,USA,398.813,781.7,209.455,126.386,0.0,186.647,307.385,124.099,0.0,0.4,45.733,474.315,1077.639,0.0,0.0,90.716,1.03,58.16,57.99,1369.73,4.632,56.665,92.138,15.68,45.33,699.95,57.05,122.64,411.97,1103.43,56.66
UNFI,2019,3.594,13.9964,87.477,35.087,63927,313 Iron Horse Way,2908,Providence,0,0,0,0,1,0,0,5140,UNITED NATURAL FOODS INC,1020859,USA,3567.921,7180.965,42.35,2089.416,0.0,2108.947,5670.031,1639.259,0.0,20.725,1065.699,1513.671,18342.495,0.0,0.0,143.224,-5.56,-284.99,-284.99,21387.068,181.134,52.886,3039.361,9.86,1044.97,2964.47,563.71,1135.78,1845.96,8617.42,50.41
BLMN,2020,1.329,12.757,87.477,33.9201,171049,"2202 North West Shore Boulevard, Suite 500",33607,Tampa,0,0,0,0,0,1,0,5812,BLOOMIN' BRANDS INC,1546417,USA,323.854,3362.107,109.98,61.928,0.428,950.104,3351.15,2060.597,0.0,4.095,103.483,4.145,2790.901,3.496,20.976,-18.061,-1.85,-158.715,-162.211,3170.561,64.442,87.856,2431.192,19.42,99.39,3592.68,141.11,86.86,170.34,3467.16,86.95
GRPN,2020,14.376,15.9915,84.979,38.5072,187363,"600 West Chicago Avenue, Suite 400",60654,Chicago,0,0,0,0,0,0,1,7370,GROUPON INC,1490281,USA,934.026,1411.507,850.587,1.28,0.498,938.988,1303.833,160.633,0.0,0.0,48.435,107.675,691.967,0.0,0.0,-76.793,-10.07,-287.931,-287.931,1416.868,33.192,28.849,358.902,37.995,48.44,1586.74,59.74,25.43,393.94,983.05,565.82
MBUU,2019,0.332,11.7291,83.594,31.9485,19391,5075 Kimberly Way,37774,Loudon,0,0,1,0,0,0,0,3730,MALIBU BOATS INC,1590976,USA,127.651,451.314,27.392,67.768,0.0,75.332,240.961,65.756,0.0,0.069,28.019,204.235,506.842,0.0,0.0,103.649,3.17,66.066,66.066,684.016,6.327,20.853,113.633,38.85,27.95,365.77,24.69,44.27,134.37,367.5,20.56
